description,description_unit,price_mode,price_per_item,price_per_base_unit,badge,image_url
Produce Red Tomatoes,kg,kg,5.99,$0.60/100g,V2-2000-Store_Saver.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5040098.png
Produce Brown Onions,KG,kg,1.99,$0.20/100g,V2-4700-EDV.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5045856.png
Sunny Crust White Toast Bread,600g,ea,1.69,,V2-4700-EDV.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5013058.png
Produce Blueberries,125g,ea,4.99,,V2-2000-Store_Saver.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5045821.png
Produce Fresh Cut lettuce,ea,ea,2.99,,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5046440.png
Rolling Meadow Butter,500g,ea,5.49,,V2-4700-EDV.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5004821.png
Value Standard Milk,1l,ea,2.40,,V2-4700-EDV.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5201800.png
Butchery NZ Beef Prime Mince,kg,kg,16.99,$1.70/100g,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5125914.png
Value Standard Milk,3l,ea,5.34,,V2-4700-EDV.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5201799.png
Produce Fairtrade Bananas,850g,ea,4.49,,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5040730.png
Produce Mandarins,kg,kg,6.99,$0.70/100g,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5039995.png
Pams Fresh Spinach Salad,120g,ea,3.99,,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5040464.png
Produce White Washed Potatoes,KG,kg,2.79,$0.28/100g,V2-4700-EDV.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5045849.png
Vogel's Original Mixed Grain Toast Bread,750g,ea,3.99,,V2-4700-EDV.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5008561.png
Butchery NZ Chicken Drumsticks,kg,kg,5.00,$0.50/100g,V2-1000-Saver.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5105213.png
Produce Spring Onions,ea,ea,2.99,,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5040009.png
Anchor Lite Milk,2l,ea,4.66,,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5000523.png
Produce Royal Gala Apples,kg,kg,3.99,$0.40/100g,V2-4700-EDV.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5046525.png
Anchor Calci + Trim Milk,1l,ea,3.12,,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5025424.png
Butchery NZ Premium Beef Mince,kg,kg,13.99,$1.40/100g,V2-1000-Saver.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5101189.png
Sunny Crust Multigrain Toast Bread,600g,ea,1.69,,V2-4700-EDV.svg,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5013060.png
Beekist Angel Tomatoes,200g,ea,4.99,,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5040543.png
Freya's Tuscan Mixed Grain Bread,750g,ea,3.89,,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5025749.png
Anchor Calci + Trim Milk,2l,ea,5.62,,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5000519.png
Freya's Swiss Soya Linseed Bread,750g,ea,3.89,,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5025751.png
Molenberg Original Sandwich Bread,700g,ea,3.59,,,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5026046.png
